venue,avg_1st_score,median_1st_score,std_1st_score,win_rate_bat_first
Rangiri Dambulla International Stadium,139.1248737798721,138.0,34.28792069615594,0.37899697071693034
Rawalpindi Cricket Stadium,149.7743830787309,156.0,32.30932630883417,0.0
"Reforma Athletic Club, Naucalpan",72.43791946308725,70.0,29.251408154573276,0.2063758389261745
Riverside Ground,130.314332247557,118.0,48.034488932860995,0.40390879478827363
"Riverside Ground, Chester-le-Street",153.72413793103448,139.0,25.205185127272422,0.34748010610079577
Roma Cricket Ground,135.4000796178344,142.0,27.337098845910162,0.5151273885350318
"Royal Brussels Cricket Club Ground, Waterloo",155.2199203187251,154.0,41.350905310640854,0.400796812749004
Royal Chiangmai Golf Club,100.75751503006012,113.0,20.4896711817888,0.2545090180360721
Royal Selangor Club,115.87768817204301,132.0,42.62689660804451,0.5067204301075269
"Royal Selangor Club, Kuala Lumpur",113.42126514131898,125.0,43.93037164166901,0.5047106325706595
"Ruaraka Sports Club Ground, Nairobi",196.26281208935612,224.0,85.96929866299988,0.6780551905387647
"Sabina Park, Kingston",134.30645161290323,116.0,40.503338004803325,0.3279569892473118
"Sabina Park, Kingston, Jamaica",181.4438877755511,185.0,21.24921044531012,0.5040080160320641
San Albano,316.7,333.0,16.523842955506268,1.0
Sano International Cricket Ground,124.26237054085155,105.0,59.91993756248069,0.5542002301495972
Sano International Cricket Ground 2,90.0,90.0,0.0,0.0
Santarem Cricket Ground,149.56078767123287,137.0,30.398435050755477,0.4417808219178082
Sao Fernando Polo and Cricket Club,115.80971659919028,101.0,15.516062576789151,0.4777327935222672
"Sardar Patel Stadium, Motera",192.0,192.0,0.0,1.0
Saurashtra Cricket Association Stadium,183.40106951871658,196.0,21.53679061651242,0.33689839572192515
"Saurashtra Cricket Association Stadium, Rajkot",189.18010752688173,171.0,27.33297391542275,1.0
"Sawai Mansingh Stadium, Jaipur",164.0,164.0,0.0,0.0
Saxton Oval,152.0,180.0,31.90623763466955,0.7604790419161677
"Saxton Oval, Nelson",174.2210242587601,155.0,31.344807579426966,1.0
"Scott Page Field, Vinor",143.75565399860108,149.0,44.09684983574477,0.47446957332711587
Seddon Park,169.17848528702365,173.0,33.16892502157365,0.477086348287506
"Seddon Park, Hamilton",194.0,194.0,0.0,1.0
Seebarn Cricket Centre,146.09558823529412,191.0,56.45971900393455,0.7775735294117647
"Seebarn Cricket Centre, Lower Austria",165.0,165.0,0.0,1.0
"Selangor Turf Club, Kuala Lumpur",98.67550455085082,101.0,41.973457631920894,0.3122279382667194
Senwes Park,132.0837837837838,119.0,38.62007971711454,0.33693693693693694
"Senwes Park, Potchefstroom",137.0,137.0,0.0,0.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",174.0,174.0,0.0,1.0
Sharjah Cricket Stadium,136.6725829051845,128.0,33.61189014862172,0.4948622139187296
Sheikh Abu Naser Stadium,174.2560975609756,180.0,9.65196092560487,0.7520325203252033
Sheikh Zayed Stadium,134.83557120845256,134.0,26.225809434859976,0.43605546995377503
"Sheikh Zayed Stadium, Abu Dhabi",116.68453976764968,118.0,25.877509082810327,0.6747095621090259
Shere Bangla National Stadium,145.8614709110867,140.0,28.29940457940286,0.4643249176728869
"Shere Bangla National Stadium, Mirpur",136.86114649681528,128.0,33.076091978358754,0.5047133757961784
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",127.0,127.0,0.0,0.0
"Sikh Union Club Ground, Nairobi",140.08008008008008,149.0,28.020444528253645,0.501001001001001
"Simar Cricket Ground, Rome",138.7776856076317,128.0,36.163591187649224,0.5350476980506014
"Simonds Stadium, South Geelong",137.44444444444446,173.0,36.07155423312653,0.49382716049382713
Singapore National Cricket Ground,126.87225905150433,126.0,41.658535299765546,0.3791432942376339
Sinhalese Sports Club Ground,91.63265306122449,124.0,32.56625898825033,0.0
"Sinhalese Sports Club Ground, Colombo",134.73024523160763,145.0,24.677498781573465,0.33242506811989103
"Sir Vivian Richards Stadium, North Sound",129.35450346420322,130.0,16.978060219834042,0.5785219399538106
